onset	duration	lh_orientation	rh_orientation
0.1842	3.000	0	0
8.3142	3.000	none	0
16.2119	3.000	135	135
24.1436	3.000	45	90
32.2896	3.000	none	90
40.1707	3.000	135	45
48.1854	3.000	0	135
56.3157	3.000	none	135
64.1803	3.000	90	135
72.1773	3.000	90	0
80.1410	3.000	90	90
88.3047	3.000	none	90
96.1187	3.000	45	90
104.2000	3.000	135	0
112.3142	3.000	135	none
120.1439	3.000	90	90
128.1586	3.000	0	45
136.3227	3.000	0	none
144.1531	3.000	90	45
152.2005	3.000	0	135
160.3303	3.000	none	135
168.1946	3.000	135	135
176.1256	3.000	45	45
184.2886	3.000	none	45
192.1540	3.000	45	0
200.1678	3.000	0	90
208.2973	3.000	none	90
216.1797	3.000	45	0
224.1923	3.000	135	45
232.2898	3.000	none	45
