onset	duration	frameidx	videotime	audiotime	lasttrigger
0.050	0.054	1	0.040	0.000	0.000
0.104	0.012	2	0.080	0.000	0.000
0.116	0.017	3	0.120	0.000	0.000
0.133	0.067	4	0.160	0.000	0.000
0.200	0.050	5	0.200	0.000	0.000
0.249	0.021	6	0.240	0.000	0.000
0.271	0.032	7	0.280	0.000	0.000
0.303	0.030	8	0.320	0.000	0.000
0.333	0.053	9	0.360	0.000	0.000
0.386	0.034	10	0.400	0.000	0.000
0.420	0.030	11	0.440	0.000	0.000
0.450	0.054	12	0.480	0.000	0.000
0.503	0.030	13	0.520	0.000	0.000
0.533	0.053	14	0.560	0.000	0.000
0.586	0.034	15	0.600	0.000	0.000
0.620	0.029	16	0.640	0.000	0.000
0.649	0.053	17	0.680	0.000	0.000
0.702	0.030	18	0.720	0.000	0.000
0.733	0.053	19	0.760	0.000	0.000
0.786	0.033	20	0.800	0.986	0.000
0.819	0.030	21	0.840	1.020	0.000
0.849	0.053	22	0.880	1.053	0.000
0.903	0.030	23	0.920	1.103	0.000
0.933	0.054	24	0.960	1.137	0.000
0.987	0.033	25	1.000	1.186	0.000
1.020	0.029	26	1.040	1.220	0.000
1.049	0.054	27	1.080	1.253	0.000
1.103	0.030	28	1.120	1.351	0.000
1.133	0.054	29	1.160	1.384	0.000
1.186	0.033	30	1.200	1.434	0.000
1.219	0.031	31	1.240	1.468	0.000
1.249	0.053	32	1.280	1.501	0.000
1.303	0.030	33	1.320	1.551	0.000
1.332	0.067	34	1.360	1.584	0.000
1.399	0.034	35	1.400	1.603	0.000
1.433	0.016	36	1.440	1.656	0.000
1.449	0.055	37	1.480	1.670	0.000
1.504	0.028	38	1.520	1.720	0.000
1.532	0.053	39	1.560	1.753	0.000
1.585	0.034	40	1.600	1.803	0.000
1.619	0.030	41	1.640	1.836	0.000
1.649	0.053	42	1.680	1.870	0.000
1.702	0.030	43	1.720	1.887	0.000
1.732	0.053	44	1.760	1.920	0.000
1.785	0.034	45	1.800	1.970	0.000
1.820	0.029	46	1.840	2.003	0.000
1.849	0.053	47	1.880	2.037	0.000
1.902	0.031	48	1.920	2.087	0.000
1.932	0.054	49	1.960	2.120	0.000
1.986	0.034	50	2.000	2.170	2.000
2.021	0.028	51	2.040	2.157	2.000
2.049	0.067	52	2.080	2.190	2.000
2.115	0.036	53	2.120	2.239	2.000
2.152	0.034	54	2.160	2.289	2.000
2.185	0.033	55	2.200	2.323	2.000
2.219	0.030	56	2.240	2.356	2.000
2.249	0.054	57	2.280	2.389	2.000
2.303	0.029	58	2.320	2.440	2.000
2.332	0.053	59	2.360	2.521	2.000
2.385	0.047	60	2.400	2.571	2.000
2.432	0.036	61	2.440	2.604	2.000
2.468	0.034	62	2.480	2.654	2.000
2.503	0.030	63	2.520	2.687	2.000
2.532	0.053	64	2.560	2.721	2.000
2.585	0.034	65	2.600	2.771	2.000
2.619	0.030	66	2.640	2.804	2.000
2.649	0.053	67	2.680	2.789	2.000
2.702	0.030	68	2.720	2.839	2.000
2.732	0.053	69	2.760	2.873	2.000
2.785	0.033	70	2.800	2.923	2.000
2.818	0.030	71	2.840	2.956	2.000
2.849	0.054	72	2.880	2.989	2.000
2.903	0.029	73	2.920	3.039	2.000
2.932	0.054	74	2.960	3.072	2.000
2.986	0.033	75	3.000	3.162	2.000
3.019	0.030	76	3.040	3.195	2.000
3.048	0.053	77	3.080	3.228	2.000
3.102	0.030	78	3.120	3.278	2.000
3.132	0.055	79	3.160	3.312	2.000
3.187	0.033	80	3.200	3.361	2.000
3.220	0.029	81	3.240	3.395	2.000
3.249	0.067	82	3.280	3.428	2.000
3.315	0.036	83	3.320	3.446	2.000
3.351	0.034	84	3.360	3.496	2.000
3.385	0.033	85	3.400	3.529	2.000
3.419	0.030	86	3.440	3.563	2.000
3.448	0.054	87	3.480	3.596	2.000
3.503	0.029	88	3.520	3.646	2.000
3.532	0.053	89	3.560	3.679	2.000
3.585	0.035	90	3.600	3.778	2.000
3.620	0.028	91	3.640	3.811	2.000
3.648	0.053	92	3.680	3.844	2.000
3.701	0.030	93	3.720	3.894	2.000
3.732	0.055	94	3.760	3.927	2.000
3.787	0.045	95	3.800	3.977	2.000
3.832	0.036	96	3.840	4.011	2.000
3.868	0.034	97	3.880	4.060	2.000
3.901	0.030	98	3.920	4.102	2.000
3.932	0.054	99	3.960	4.135	2.000
3.985	0.033	100	4.000	4.185	3.999
4.018	0.030	101	4.040	4.219	3.999
4.048	0.055	102	4.080	4.252	3.999
4.103	0.028	103	4.120	4.302	3.999
4.131	0.054	104	4.160	4.335	3.999
4.186	0.046	105	4.200	4.385	3.999
4.232	0.037	106	4.240	4.332	3.999
4.268	0.033	107	4.280	4.382	3.999
4.301	0.030	108	4.320	4.415	3.999
4.331	0.055	109	4.360	4.448	3.999
4.386	0.045	110	4.400	4.498	3.999
4.431	0.036	111	4.440	4.532	3.999
4.468	0.047	112	4.480	4.581	3.999
4.515	0.037	113	4.520	4.615	3.999
4.552	0.033	114	4.560	4.713	3.999
4.585	0.032	115	4.600	4.746	3.999
4.618	0.030	116	4.640	4.780	3.999
4.648	0.053	117	4.680	4.813	3.999
4.702	0.030	118	4.720	4.863	3.999
4.731	0.053	119	4.760	4.896	3.999
4.785	0.035	120	4.800	4.946	3.999
4.820	0.028	121	4.840	4.932	3.999
4.848	0.053	122	4.880	4.965	3.999
4.901	0.030	123	4.920	5.015	3.999
4.931	0.053	124	4.960	5.048	3.999
4.984	0.035	125	5.000	5.098	3.999
5.019	0.028	126	5.040	5.131	3.999
5.048	0.054	127	5.080	5.165	3.999
5.102	0.030	128	5.120	5.215	3.999
5.131	0.054	129	5.160	5.296	3.999
5.185	0.033	130	5.200	5.346	3.999
5.219	0.029	131	5.240	5.379	3.999
5.248	0.053	132	5.280	5.412	3.999
5.301	0.030	133	5.320	5.463	3.999
5.331	0.053	134	5.360	5.496	3.999
5.385	0.033	135	5.400	5.546	3.999
5.418	0.030	136	5.440	5.579	3.999
5.448	0.055	137	5.480	5.652	3.999
5.503	0.028	138	5.520	5.701	3.999
5.531	0.053	139	5.560	5.735	3.999
5.584	0.033	140	5.600	5.785	3.999
5.617	0.030	141	5.640	5.818	3.999
5.648	0.054	142	5.680	5.851	3.999
5.702	0.030	143	5.720	5.901	3.999
5.731	0.053	144	5.760	5.935	3.999
5.784	0.033	145	5.800	5.953	3.999
5.817	0.030	146	5.840	5.986	3.999
5.848	0.053	147	5.880	6.019	3.999
5.901	0.030	148	5.920	6.070	3.999
5.931	0.055	149	5.960	6.103	3.999
5.986	0.033	150	6.000	6.153	6.010
6.019	0.029	151	6.040	6.186	6.010
6.048	0.053	152	6.080	6.219	6.010
6.101	0.030	153	6.120	6.317	6.010
6.131	0.054	154	6.160	6.351	6.010
6.185	0.033	155	6.200	6.401	6.010
6.218	0.030	156	6.240	6.434	6.010
6.248	0.054	157	6.280	6.467	6.010
6.302	0.029	158	6.320	6.517	6.010
6.331	0.054	159	6.360	6.551	6.010
6.385	0.032	160	6.400	6.649	6.010
6.417	0.030	161	6.440	6.682	6.010
6.448	0.054	162	6.480	6.715	6.010
6.502	0.029	163	6.520	6.765	6.010
6.531	0.053	164	6.560	6.798	6.010
6.584	0.034	165	6.600	6.849	6.010
6.618	0.029	166	6.640	6.882	6.010
6.647	0.053	167	6.680	6.915	6.010
6.701	0.030	168	6.720	6.838	6.010
6.731	0.053	169	6.760	6.871	6.010
6.784	0.034	170	6.800	6.921	6.010
6.817	0.030	171	6.840	6.955	6.010
6.847	0.053	172	6.880	6.988	6.010
6.900	0.030	173	6.920	7.038	6.010
6.931	0.054	174	6.960	7.071	6.010
6.984	0.033	175	7.000	7.121	6.010
7.018	0.030	176	7.040	7.203	6.010
7.047	0.053	177	7.080	7.236	6.010
7.101	0.030	178	7.120	7.286	6.010
7.131	0.054	179	7.160	7.319	6.010
7.184	0.034	180	7.200	7.369	6.010
7.218	0.029	181	7.240	7.403	6.010
7.247	0.055	182	7.280	7.436	6.010
7.302	0.029	183	7.320	7.486	6.010
7.331	0.055	184	7.360	7.471	6.010
7.386	0.028	185	7.400	7.521	6.010
7.414	0.053	186	7.440	7.555	6.010
7.467	0.034	187	7.480	7.604	6.010
7.501	0.030	188	7.520	7.638	6.010
7.530	0.053	189	7.560	7.671	6.010
7.584	0.030	190	7.600	7.721	6.010
7.614	0.053	191	7.640	7.754	6.010
7.667	0.033	192	7.680	7.764	6.010
7.700	0.030	193	7.720	7.798	6.010
7.730	0.053	194	7.760	7.831	6.010
7.784	0.030	195	7.800	7.881	6.010
7.814	0.054	196	7.840	7.914	6.010
7.867	0.033	197	7.880	7.964	6.010
7.900	0.030	198	7.920	7.998	6.010
7.930	0.053	199	7.960	8.031	6.010
7.983	0.031	200	8.000	8.208	6.010
8.014	0.053	201	8.040	8.241	8.014
8.067	0.047	202	8.080	8.291	8.014
8.114	0.036	203	8.120	8.324	8.014
8.149	0.034	204	8.160	8.374	8.014
8.183	0.030	205	8.200	8.408	8.014
8.214	0.054	206	8.240	8.441	8.014
8.267	0.033	207	8.280	8.579	8.014
8.301	0.029	208	8.320	8.613	8.014
8.330	0.054	209	8.360	8.646	8.014
8.384	0.030	210	8.400	8.696	8.014
8.414	0.053	211	8.440	8.729	8.014
8.467	0.034	212	8.480	8.779	8.014
8.501	0.029	213	8.520	8.812	8.014
8.530	0.053	214	8.560	8.846	8.014
8.583	0.030	215	8.600	8.824	8.014
8.613	0.053	216	8.640	8.857	8.014
8.667	0.033	217	8.680	8.907	8.014
8.700	0.030	218	8.720	8.940	8.014
8.730	0.053	219	8.760	8.974	8.014
8.783	0.031	220	8.800	9.024	8.014
8.814	0.067	221	8.840	9.057	8.014
8.880	0.050	222	8.880	9.107	8.014
8.930	0.019	223	8.920	9.047	8.014
8.949	0.034	224	8.960	9.063	8.014
8.984	0.030	225	9.000	9.097	8.014
9.013	0.053	226	9.040	9.130	8.014
9.066	0.033	227	9.080	9.180	8.014
9.100	0.030	228	9.120	9.214	8.014
9.130	0.055	229	9.160	9.247	8.014
9.185	0.028	230	9.200	9.297	8.014
9.213	0.053	231	9.240	9.378	8.014
9.266	0.047	232	9.280	9.428	8.014
9.313	0.036	233	9.320	9.461	8.014
9.349	0.034	234	9.360	9.511	8.014
9.383	0.030	235	9.400	9.545	8.014
9.413	0.067	236	9.440	9.578	8.014
9.480	0.050	237	9.480	9.628	8.014
9.530	0.019	238	9.520	9.646	8.014
